msg_type,processing_time_ns,buff_read_ns
l2update,10498,1586
match,15566,1957
l2update,10848,1654
match,16084,1938
l2update,10946,1629
match,16524,4208
l2update,10585,1672
match,16310,2000
l2update,10741,1683
match,15849,1890
l2update,10781,1692
match,16478,1910
l2update,10636,1659
match,16251,4312
l2update,10893,1719
match,16063,1918
l2update,10384,1570
match,16248,1888
l2update,10580,1643
match,15682,1934
l2update,10300,1641
match,16518,4231
l2update,10553,1757
match,15844,1959
l2update,10814,1705
match,15955,1921
l2update,10398,1605
match,15652,1925
l2update,10535,1608
match,16597,4196
l2update,10793,1685
match,15671,1916
l2update,10302,1627
match,15693,1938
l2update,10560,1686
match,15603,1921
l2update,11374,3968
match,16090,1911
l2update,10938,1672
match,16116,1911
l2update,10544,1670
match,15657,1963
l2update,10755,1673
match,15758,1889
l2update,11311,3908
match,16370,2026
l2update,10624,1659
match,16126,1878
l2update,10451,1676
match,16136,1962
l2update,10486,1600
match,16659,4194
l2update,10689,1679
match,16358,1932
l2update,10955,1618
match,16132,1954
l2update,10903,1662
match,15738,1939
l2update,10469,1628
match,16482,4192
l2update,10778,1716
match,15785,1934
l2update,10583,1689
match,16264,1913
l2update,10467,1621
match,15475,1924
l2update,10923,1652
match,16466,4109
l2update,10968,1709
match,16465,1967
l2update,10416,1676
match,16241,2001
l2update,10412,1626
match,15953,1982
l2update,11353,3871
match,15730,2065
l2update,11106,1696
match,16523,1854
l2update,10473,1654
match,15993,2081
l2update,11131,1646
match,16316,1869
l2update,11326,3994
match,15834,2046
l2update,10324,1622
match,16392,1941
l2update,11021,1613
match,15949,1850
l2update,10470,1598
match,16425,4253
l2update,11108,1714
match,23167,1916
l2update,14916,4640
match,26452,2353
l2update,10335,1770
match,15861,1933
l2update,10373,1585
match,16243,5060
l2update,10440,1696
match,15869,1914
l2update,10207,1645
match,16384,1953
l2update,10371,1614
match,15684,1895
l2update,10083,1613
match,15936,4168
l2update,10300,1684
match,15374,1895
l2update,10085,1645
match,15722,1962
l2update,10863,1645
match,15775,1856
l2update,10798,1592
match,16108,4124
l2update,10643,1746
match,15308,1918
l2update,10624,1607
match,15331,1942
l2update,10161,1565
match,15919,1961
l2update,10506,3925
match,15240,1948
l2update,10258,1650
match,15773,1933
l2update,10115,1591
match,16072,1934
l2update,10111,1571
match,16110,4096
l2update,10175,1720
match,15722,1999
l2update,10707,1619
match,15578,1930
l2update,10777,1594
match,15582,1879
l2update,10586,1567
match,15846,4146
l2update,10288,1703
match,15889,1944
l2update,10250,1583
match,15841,1958
l2update,10188,1595
match,16104,1919
l2update,10382,1594
match,16181,4051
l2update,10479,1699
match,15632,1982
l2update,10246,1631
match,15824,1945
l2update,10235,1637
match,15601,1901
l2update,10668,1619
match,15908,4131
l2update,10238,1694
match,15677,1954
l2update,10192,1666
match,15741,1950
l2update,10702,1653
match,15382,1894
l2update,11088,3854
match,15804,2001
l2update,10279,1621
match,15660,1912
l2update,10326,1643
match,15617,1920
l2update,10453,1721
match,15700,1943
l2update,11029,3300
match,15452,2012
l2update,10039,1602
match,16116,1940
l2update,10362,1605
match,15947,1936
l2update,10773,1603
match,15797,4107
l2update,10162,1686
match,15616,1904
l2update,10113,1602
match,15614,1894
l2update,10722,1620
match,15517,1845
l2update,10112,1584
match,17967,12339
l2update,10675,10898
match,14969,1845
l2update,9998,1556
match,15217,1864
l2update,9918,1475
match,15272,1847
l2update,9976,1509
