msg_type,processing_time_ns,buff_read_ns
l2update,16317,4539977
l2update,16335,941168
l2update,16159,7844161
l2update,16392,8234373
l2update,16550,2672236
l2update,16282,4684334
l2update,16141,9843109
l2update,5209,990
l2update,4360,734
l2update,16447,6955052
l2update,5633,1235
l2update,17029,20883549
l2update,16237,47870408
l2update,5367,1015
l2update,4162,662
l2update,16259,31212773
l2update,16861,9764522
l2update,16174,5434280
l2update,16081,9383029
l2update,16150,4338979
match,9569,1731
l2update,16412,32103084
l2update,16270,18165165
l2update,16236,7507050
l2update,5317,1161
l2update,5204,5525
l2update,16387,3250910
l2update,5094,1145
l2update,16442,3052693
l2update,16339,11702241
l2update,16394,56497861
l2update,16329,13308891
l2update,5753,6089
l2update,17014,12963942
l2update,16372,13907520
l2update,16247,17918091
l2update,5271,1203
l2update,16477,9642349
l2update,16439,2610829
l2update,16392,50096580
l2update,16297,7422308
l2update,16202,1245042
l2update,16109,4558679
l2update,17311,5569263
l2update,16487,1886992
l2update,16347,73481349
l2update,16241,10939231
l2update,16264,7968766
l2update,16306,87604620
l2update,5999,5402
l2update,20097,5576287
l2update,16118,12756922
l2update,16372,8733588
l2update,16151,9858310
l2update,16209,3184341
match,8875,1481
l2update,16181,2068046
l2update,16064,33438534
l2update,19774,63026934
l2update,16078,17071447
l2update,16980,70604081
l2update,6342,5625
l2update,16204,45914108
l2update,5417,1157
l2update,16229,8525193
l2update,16414,18048140
l2update,5520,1065
l2update,4199,707
l2update,16410,4584570
l2update,16342,11713768
l2update,5450,1162
l2update,16402,33344583
l2update,16369,98435013
l2update,5447,1188
l2update,17068,60874235
l2update,5404,1928
l2update,4395,684
l2update,16267,26565775
match,8960,1822
l2update,16246,39883934
l2update,16121,25950398
l2update,5771,1212
l2update,16239,2149472
l2update,16332,9613324
l2update,16397,5573483
l2update,16269,10783315
l2update,5422,1130
l2update,4373,579
l2update,4123,553
l2update,4070,511
l2update,4055,639
l2update,16291,70247501
l2update,16635,46191943
l2update,16171,42215018
l2update,16261,79074365
l2update,16190,15943976
l2update,5485,1138
l2update,16146,53207827
l2update,16260,47643451
l2update,16415,2600414
l2update,17943,17623895
match,9907,1984
l2update,16382,45966742
l2update,16239,16453769
