processing,buffer_read
46,471
263,2005962
72,997
207,11576183
213,2138086
196,1118670
45,829
201,4591971
208,2150489
220,2432204
210,8342972
45,804
203,5531908
44,617
45,286
46,428
228,26906801
45,4951
213,95378692
198,2811521
203,630717
218,2131008
179,1077559
198,8375269
196,11735654
45,895
196,4681103
221,6347620
203,4404669
228,13935509
46,766
45,441
203,12106959
45,689
45,443
208,18029690
45,855
196,3722414
232,7688033
77,8349
203,8537444
45,887
208,6594071
45,684
45,283
46,305
46,401
223,11678472
75,1195
203,7628111
46,719
45,326
45,441
233,20101600
216,5746894
204,7462116
221,28556982
203,5384421
45,647
45,446
233,4272240
214,4252373
45,885
201,5367563
46,904
220,6410215
45,814
46,513
228,3664183
45,865
201,5210475
214,3270867
195,6440839
45,695
45,326
45,441
228,18105980
220,11439284
215,1039872
198,6314868
202,3668277
203,2639700
207,3510871
46,4081
206,36374533
45,742
45,289
45,283
45,318
45,283
46,290
45,293
45,281
43,278
43,278
43,278
44,2921
45,434
43,283
48,273
46,273
42,377
215,14829364
45,717
45,331
45,306
46,295
46,300
45,291
45,426
198,6325657
44,697
45,326
45,306
45,283
44,289
46,295
45,1163
213,13172141
45,1313
45,428
45,361
45,289
45,291
46,290
45,293
45,286
45,288
42,286
46,2280
43,383
46,293
45,298
45,396
48,4202
203,2713326
45,729
46,503
205,6883991
45,770
45,336
45,303
45,301
47,299
45,411
198,5152650
45,867
203,4732389
46,759
48,293
44,451
208,2070947
210,9737102
45,732
46,323
45,286
45,283
46,290
47,296
45,411
203,8443035
48,754
45,306
45,308
45,409
212,4501332
48,616
45,950
46,310
45,288
45,288
45,285
45,409
221,7210999
207,7444536
219,1068005
207,2390452
45,829
213,2077127
203,20856617
45,745
45,303
45,414
45,5655
45,373
45,293
45,306
44,294
42,346
203,13805880
45,734
45,336
47,291
46,293
48,288
45,293
45,436
218,16654216
45,719
45,311
45,293
46,295
45,298
46,283
45,281
45,284
46,298
43,300
46,283
45,2631
43,410
43,303
45,296
43,291
45,295
44,289
44,401
206,7068530
45,787
47,464
208,12781559
45,694
44,319
46,293
44,291
46,293
46,298
45,294
45,299
46,290
45,406
203,3283975
203,6532688
45,902
197,20484061
45,822
204,1142315
45,880
48,4327
213,1267395
46,741
45,366
44,411
198,8513440
46,714
45,291
45,293
45,296
45,418
208,1035686
45,4220
208,1315024
206,7403823
45,917
46,313
45,486
44,5005
204,12728257
45,686
45,348
45,293
46,300
45,409
206,13216102
45,709
45,316
45,408
203,11598563
210,28095716
45,639
45,369
45,341
45,288
45,294
45,291
45,295
43,290
45,411
208,3066886
44,838
206,2166372
45,4192
205,17826390
198,10641116
221,7434628
44,865
203,5357035
45,791
246,15816850
73,985
65,890
212,5372470
45,1333
205,2186579
45,1291
207,8635733
44,1319
45,423
45,409
45,318
45,381
45,293
45,2668
48,408
43,454
206,2957184
45,1341
210,5749105
45,1256
45,348
45,411
46,301
46,401
46,291
45,2787
45,437
46,295
46,300
45,304
43,371
196,1792955
45,707
45,288
44,294
45,293
45,283
45,288
45,429
203,6275271
208,4372603
44,737
45,313
45,296
44,439
203,3172233
45,642
45,328
46,315
45,434
205,2156703
45,824
45,4418
45,2966
207,954383
198,1094438
45,932
206,7404162
203,3665436
45,682
46,488
278,14104766
63,1142
57,484
66,505
68,488
74,522
70,506
68,463
67,464
68,601
70,439
57,491
62,4741
58,726
203,8525240
46,716
46,478
197,2165940
45,667
45,351
45,306
45,433
203,981957
216,2164024
46,824
227,2125626
46,876
203,2150269
45,829
208,3224007
44,780
45,313
45,411
205,1046610
46,849
221,3153461
203,11660934
46,756
45,353
48,415
220,2072116
45,882
238,1381025
199,4294005
45,660
45,353
45,286
45,301
48,283
48,286
45,301
42,281
42,421
199,1207684
211,5672755
45,704
45,441
195,4076587
44,752
46,285
45,308
46,428
203,2123090
205,3243416
45,3952
48,2994
203,5240177
45,702
44,289
45,300
46,415
220,3098556
44,905
208,1141927
45,4232
235,3239104
63,1568
205,1123799
45,4175
198,1040296
221,1042045
206,1156426
203,6085570
50,6154
45,393
44,323
215,1532022
198,988387
45,867
201,3973780
45,799
45,514
45,4527
208,922601
206,2007329
46,4976
221,1482000
198,1942261
208,4821838
46,912
44,4368
42,2957
195,1317698
45,887
45,4546
46,335
204,3464257
45,699
45,286
45,476
202,1108785
45,867
228,1091985
205,8649950
46,724
45,439
218,1957335
211,6420926
45,697
45,506
220,1300419
45,707
45,478
215,4490593
46,4031
198,2632662
46,824
215,2163870
46,824
203,4497084
45,666
47,454
203,28413654
226,801403
218,1427578
45,687
46,310
45,283
45,283
47,441
45,4112
47,2852
46,5419
42,396
43,290
43,300
45,293
43,275
45,313
203,8065247
45,834
221,4059600
215,758580
45,737
45,294
48,281
45,451
196,6232291
45,744
47,735
216,1057755
215,1111374
228,1329765
203,13943274
48,683
46,328
45,308
48,300
45,276
48,273
45,298
45,449
203,3271033
45,842
197,2210553
45,749
45,288
45,283
48,433
177,1519456
42,3849
203,3692364
208,8915349
44,697
45,331
45,281
45,318
45,451
220,4124041
226,4338049
73,942
58,689
196,2155711
45,804
206,2173230
201,3189462
203,2235746
213,1065517
45,867
198,6561215
45,754
45,326
45,318
45,335
44,301
45,290
45,290
42,463
198,2048975
45,4174
198,15106612
44,644
44,329
45,323
46,283
45,283
46,275
45,276
46,278
45,414
180,1015200
44,692
45,310
45,290
45,428
203,2136971
218,1693559
106,4214
208,10515058
45,729
46,300
45,281
45,446
115,5294725
45,549
45,290
45,411
202,8557508
208,1016944
220,6459168
45,874
201,4266387
200,13878153
45,864
215,2136129
45,4147
197,2118322
203,2135285
198,2159092
195,7775465
45,692
46,325
45,469
206,2318768
211,1359058
46,4229
211,5562355
221,2135149
45,837
211,7735565
45,762
45,328
46,282
46,280
45,446
213,976552
45,817
229,1100458
45,852
218,7943338
46,666
47,496
197,6145336
45,712
45,298
46,273
44,434
198,3358400
45,830
45,458
198,2624471
46,786
