msg_type,processing_time_ns,buff_read_ns
match,16609,4317
l2update,10702,1706
match,16458,2012
l2update,11204,1695
match,16350,1921
l2update,11064,1678
match,15844,1954
l2update,10672,1715
match,16845,4292
l2update,11424,1761
match,16027,1884
l2update,10859,1722
match,16225,1995
l2update,10951,1674
match,15851,2004
l2update,11358,1712
match,16367,4198
l2update,11151,1785
match,16221,2043
l2update,10692,1659
match,17235,2340
l2update,10867,1784
match,16038,2012
l2update,10840,1701
match,16726,4693
l2update,10826,1767
match,15799,1970
l2update,11118,1748
match,16182,1987
l2update,11190,1672
match,15908,1954
l2update,11595,4012
match,15827,2011
l2update,10694,1642
match,16058,1975
l2update,11126,1765
match,15782,1926
l2update,11096,1714
match,15791,1965
l2update,11356,4027
match,15868,2001
l2update,10616,1729
match,16314,1982
l2update,10701,1701
match,15720,1987
l2update,11078,1642
match,17048,4260
l2update,11389,1718
match,16345,1919
l2update,10668,1628
match,15838,1995
l2update,11108,1705
match,15662,1973
l2update,10936,1738
match,16672,4208
l2update,10713,1716
match,16189,2022
l2update,10654,1641
match,16361,1956
l2update,10697,1627
match,16455,1963
l2update,10624,1671
match,17208,4298
l2update,10793,1714
match,16600,2196
l2update,11099,1694
match,15966,1932
l2update,11230,1709
match,16123,1989
l2update,11070,3960
match,16663,1976
l2update,10674,1656
match,16331,1966
l2update,11159,1668
match,16333,1894
l2update,10706,1650
match,15792,2008
l2update,10951,3837
match,15874,2034
l2update,11233,1586
match,16278,1992
l2update,10764,1691
match,16152,2014
l2update,10684,1686
match,16843,4408
l2update,10812,1707
match,16180,1961
l2update,10815,1667
match,16169,2050
l2update,10748,1633
match,16120,2015
l2update,10661,1667
match,16547,4174
l2update,10717,1751
match,15686,2026
l2update,10552,1645
match,16475,1984
l2update,10709,1645
match,15725,1978
l2update,10688,1657
match,16730,4247
l2update,10771,1696
match,16186,2027
l2update,10744,1697
match,16346,1944
l2update,10805,1630
match,16133,2002
l2update,10890,1648
match,16327,4334
l2update,10862,1658
match,16702,1949
l2update,10666,1686
match,16193,1965
l2update,10586,1581
match,16129,2001
l2update,11314,3868
match,15749,2018
l2update,10612,1645
match,16315,1969
l2update,10573,1585
match,15986,2013
l2update,10684,1634
match,16440,4320
l2update,10626,1716
match,15916,1954
l2update,11086,1681
match,16239,1944
l2update,10935,1636
match,15696,1915
l2update,10712,1722
match,17097,4206
l2update,11163,1701
match,15707,1984
l2update,11356,1707
match,16585,1969
l2update,10572,1685
match,16185,1947
l2update,10514,1702
match,17093,4109
l2update,10832,1669
match,15752,2032
l2update,10866,1715
match,16383,1889
l2update,10653,1624
match,16266,1970
l2update,10649,1660
match,16981,4292
l2update,10763,1661
match,15805,1917
l2update,11194,1716
match,16027,2113
l2update,10974,1679
match,16356,2030
l2update,11321,3950
match,17080,2017
l2update,10524,1705
match,16303,2015
l2update,11009,1600
match,16053,1954
l2update,10865,1706
match,15859,1919
l2update,11650,4034
match,16433,1930
l2update,10591,1608
match,18227,1965
l2update,11575,4365
match,16286,2068
l2update,10717,1687
match,17168,4736
